student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score,productivity_score
S001,8.0,8.8,72.1,45,30.2,9
S002,1.3,8.6,60.7,55,25.0,5
S003,4.0,8.2,73.7,86,35.8,5
S004,3.5,4.8,95.1,66,34.0,2
S005,9.1,6.4,89.8,71,40.3,8
S006,8.4,5.1,58.5,75,35.7,6
S007,10.8,6.0,54.2,88,37.9,6
S008,2.0,4.3,75.8,55,18.3,1
S009,5.6,5.9,81.6,84,34.7,6
S010,1.3,8.9,66.8,70,24.7,5
S011,3.4,5.3,90.9,81,29.3,4
S012,6.6,7.9,87.6,85,35.1,8
S013,1.3,6.3,83.6,71,31.2,4
S014,3.2,6.1,61.2,68,30.2,3
S015,8.1,8.8,60.0,90,41.1,9
S018,7.5,7.6,73.8,58,36.3,7
S019,9.9,4.8,92.5,54,35.6,6
S020,1.1,5.5,53.6,65,17.1,2
S021,9.9,8.8,70.7,84,46.0,9
S022,8.7,6.9,81.5,55,36.1,8
S024,2.7,7.7,84.8,82,35.9,6
S025,11.5,4.3,74.7,77,39.2,5
S026,4.7,6.9,62.2,63,30.0,3
S027,2.0,6.5,82.8,70,29.0,4
S028,2.1,8.3,50.3,75,26.5,4
S029,10.3,4.8,87.5,73,37.2,6
S031,9.9,4.4,55.3,67,34.5,4
S032,9.0,4.9,71.3,87,41.6,5
S033,6.9,7.0,58.8,75,38.1,6
S034,11.7,7.4,97.9,61,42.7,10
S036,7.1,4.6,52.5,84,32.0,2
S037,10.1,8.5,62.5,69,44.7,9
S038,7.8,5.2,92.4,57,38.3,6
S039,10.5,7.0,72.8,59,39.8,9
S040,7.4,7.1,90.1,56,35.0,8
S041,8.8,6.1,83.4,54,34.2,8
S042,1.5,6.9,99.4,47,23.1,4
S043,3.5,6.6,79.8,86,37.2,3
S044,4.2,8.7,97.5,52,30.3,6
S045,1.9,5.0,94.6,60,26.1,2
S046,3.6,7.6,80.6,47,31.8,6
S047,2.1,5.2,86.0,87,31.6,4
S048,4.1,6.0,75.2,74,31.1,3
S049,8.0,7.4,91.5,88,41.2,10
S050,5.0,5.5,77.4,84,30.6,3
S051,5.1,5.6,94.9,51,28.8,6
S052,3.3,7.8,87.2,52,30.7,6
S053,3.9,4.4,73.7,53,26.9,1
S054,11.3,6.3,63.0,87,46.4,7
S055,8.1,9.0,62.4,70,34.4,9
S057,2.9,4.4,88.3,86,35.2,2
S058,9.0,5.1,76.1,77,38.2,7
S059,2.8,5.3,81.3,88,33.0,4
S060,5.2,8.7,63.7,73,29.2,7
S061,11.9,8.4,53.9,78,48.6,8
S062,8.0,8.4,64.3,58,36.1,9
S063,7.1,5.8,63.6,46,27.1,5
S064,8.5,4.8,66.0,93,36.1,5
S065,10.3,8.2,77.0,52,39.5,9
S066,9.5,7.5,56.9,58,36.7,8
S067,3.5,7.1,61.6,54,21.7,5
S068,1.4,8.9,84.7,63,32.2,6
S070,3.9,4.0,53.2,59,23.9,1
S071,3.3,8.1,70.4,40,20.8,5
S072,11.4,5.5,77.1,85,47.9,7
S073,10.6,7.3,70.8,74,41.9,9
S075,8.2,4.7,71.0,57,33.5,5
S076,5.4,4.6,95.2,42,26.3,4
S077,11.1,4.5,79.2,43,39.9,5
S079,3.9,5.4,92.8,58,26.5,4
S080,3.7,7.0,88.3,84,34.2,6
S081,7.2,7.6,69.0,48,30.8,7
S082,3.9,5.0,50.3,80,32.4,1
S086,3.4,8.5,97.7,46,26.5,6
S087,12.0,8.2,71.0,95,51.3,10
S088,6.6,4.5,87.4,40,28.6,4
S089,2.0,6.1,77.3,76,32.1,3
S090,1.5,5.4,80.2,58,23.9,4
S091,2.2,4.0,61.0,70,27.3,1
S092,7.9,7.9,61.0,70,34.0,7
S093,9.7,7.2,71.8,68,37.5,9
S094,5.6,5.3,51.5,61,29.1,4
S095,1.7,7.7,66.8,51,28.1,5
S096,5.2,6.8,84.0,43,28.7,6
S097,12.0,6.1,70.2,56,36.9,7
